2734	1933
5900	5770
3106	6269
572	2964
15191	7276
4359	16816
49184	53721
13676	38955
4047	4953
18095	29770
9443	16021
19152	52029
26608	29110
282	3442
204	4624
7093	7808
247	1690
10140	13020
479	996
1072	5869
313	2245
19370	53682
443	66
6971	13593
11321	28233
57876	51281
8752	15353
2594	1898
50352	54924
193	511
2750	1403
9447	16000
1448	1331
413	720
9187	15322
331	4065
1257	809
4882	14556
139	3687
128	453
2856	2302
184	91
9838	15885
2804	7700
1166	6469
153	197
13261	15500
6580	11701
30224	38056
863	7073
11190	24143
5241	12412
1671	1323
8766	9777
1400	3317
178	3677
63530	74199
6260	9993
9568	8800
900	1481
790	4264
8687	21265
1250	1816
364	1369
2676	3106
6292	12856
3262	8725
2398	11049
4203	5585
1210	3999
9293	26275
37397	29258
3454	3022
7247	5513
72930	57760
1730	5683
510	3422
2705	4260
1761	4356
80039	80905
1674	1201
5983	24129
11344	6524
1537	2166
4829	3423
105016	97947
834	1650
216	2442
2793	1922
2934	8472
9337	24620
38094	30687
11422	29921
4922	5996
55536	40801
70760	70771
2212	7845
30907	29936
7478	17967
1102	3043
851	2733
17685	32925
7448	14281
5172	21989
146	1187
3947	8369
16	1238
8223	9290
23420	53316
25576	28633
238	1196
2022	11515
4247	4918
3472	2055
1702	3212
2150	1145
298	91
51138	41847
2064	4657
10456	15596
201	2845
391	4901
12928	21024
46874	32272
8618	6436
1583	1572
6538	6337
2343	723
16	685
55435	62027
668	27
2524	11917
799	5809
1031	140
443	66
15202	16714
1192	3628
5689	12748
28586	37417
7184	11110
248	2176
534	2029
2940	7647
504	547
8300	10953
16485	22751
1424	4780
11286	37921
282	3442
827	1047
19391	34071
10494	16956
916	3591
1021	767
3936	4370
65293	58359
1935	6589
43327	28546
6431	11020
1789	4176
8084	15081
1352	5562
10352	16053
5440	19312
6486	5003
317	3405
1547	3051
897	1912
14942	29211
536	183
477	1010
54435	49577
36	199
128	745
3200	1356
39243	90297
5537	12687
2945	8177
324	1277
27215	67880
34	1970
592	2676
52959	43596
16876	53482
26139	13960
7498	10117
49546	34773
14831	23963
11685	14499
42880	31854
171	140
250	1081
7089	13245
2566	6386
1179	5395
9387	17840
26453	25524
337	1839
54536	51398
5704	3004
3843	9363
1444	8462
5339	5415
1025	2216
15110	40503
4062	1253
9411	27119
455	1535
72250	71198
7080	10188
119	861
11661	19493
24541	71399
102	168
972	920
1153	3529
1211	2059
10588	19789
11347	32413
11146	19773
752	5455
2795	8676
11252	25148
2962	7097
3813	10882
1240	3490
3635	4167
1348	3650
20034	23241
5156	6884
1321	6535
1780	2864
111	176
616	1779
10321	31369
27972	13582
1864	13778
3358	7830
25945	59080
2173	2816
14561	24912
8527	25225
47356	52174
46042	29252
132	280
3644	10781
70610	86694
5409	4563
23780	37306
4403	2694
6314	13524
9163	21014
70356	86023
47624	34063
6294	12479
635	1168
316	2499
66406	82414
58926	50246
2493	2749
19935	46100
12570	15431
712	1776
37237	29488
2886	6937
4225	14274
5396	5041
100	1299
8381	14837
5700	16903
7685	32167
22186	31229
1415	1396
632	6406
1150	513
898	4079
5337	2871
11890	31177
322	1921
2305	7233
1964	0
4668	4474
340	386
408	3692
4491	4888
76407	89155
225	2902
1588	12846
2145	5509
3616	8893
1514	7013
1985	361
1424	1963
687	346
4537	11852
21115	16701
1746	5374
13437	8048
81	983
26815	53857
7676	11121
4196	1841
3603	940
45427	27644
26017	28123
6299	8407
9697	15164
1643	9619
1698	6566
15151	28044
9518	14202
78315	77051
1070	963
39277	42537
1933	6211
3276	3863
5206	7099
274	1097
1688	13332
113	167
46186	45840
6593	7716
75059	113028
651	4449
1116	6880
3715	3061
36375	33090
617	3083
67	495
16206	17361
757	4444
11077	26757
13875	29631
10071	23644
361	1261
623	3726
9464	19613
16	685
11787	19640
74493	80423
5497	13690
8802	11507
736	741
272	462
12773	15103
2096	5985
387	2221
3270	2353
0	737
7256	4945
125	20
777	4202
2600	1889
56466	100781
4711	3244
2833	2948
2942	14886
53178	51710
145	285
1541	3807
138	155
9412	7845
428	166
2752	5950
52225	43475
810	1447
954	6741
6297	14416
10382	25763
2535	4970
1676	2042
13638	41085
651	1135
93	27
27792	43878
30392	12113
8934	18971
35594	29165
1975	6287
155	463
8333	15304
1265	591
18773	22097
6807	19039
16963	20891
176	1749
142	1518
6566	21072
64908	68253
212	341
2571	5428
22417	25649
4126	13950
158	1497
52369	30840
21416	42235
1829	3274
51478	42255
704	508
1827	2091
70	1843
1324	4812
266	773
57575	46073
26585	50403
13190	22109
19359	52026
6216	7141
212	2485
8212	6066
541	6511
55084	47722
1166	2526
19442	28660
257	1158
1079	6517
1074	6913
15056	40273
69110	73855
10760	31997
1148	1593
4394	12521
4109	10854
584	4048
529	906
13344	32220
1445	6264
4627	8328
69468	66884
628	1510
1364	262
2285	5619
64310	63762
285	404
1930	8042
21496	60291
697	4908
9934	6034
1572	7359
4546	4452
9928	12161
53827	61166
42174	42703
1116	976
2084	5402
1126	5781
2721	7484
3804	2121
1795	4670
4628	8734
2088	6467
2847	4875
9015	19655
12770	30066
4552	7741
15594	46630
1189	1414
808	947
1488	4544
71214	64920
3699	4487
1958	3289
970	3013
1027	1991
12481	24005
355	1761
66089	65194
68812	45177
18104	45304
590	735
4473	12322
1561	835
2820	1243
295	1625
34597	52351
69813	65645
50515	34870
27624	28714
20935	20486
1561	224
83460	79319
9200	9463
123	454
3091	4699
3437	6619
2297	9778
4239	9506
1280	429
1899	4142
3305	16141
1954	9670
8607	23135
3763	5606
1331	2619
219	5445
1259	784
714	6843
660	300
16	1238
2886	12174
